Well,Plate,Compound,Concentration,Replicate,t_0,t_2.08,t_4.16,t_6.24,t_8.32,t_10.4,t_12.48,MIC,Smiles
D03,111-DR1,Z295866338,50,E,0,0.104686976365638,0.211927293618244,0.224693998053078,0.219587316279144,0.21448063450521,0.20682061184431,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
D04,111-DR1,Z295866338,12.5,E,0,0.163413816765875,0.388107814818952,0.495348132071557,0.518328200054259,0.520881540941225,0.518328200054259,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
D05,111-DR1,Z295866338,3.13,E,0,0.191500566522509,0.515774859167292,0.640888562628664,0.74812887988127,0.855369197133875,0.949842809951646,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
D06,111-DR1,Z295866338,0.781,E,0,0.183840543861609,0.528541563602126,0.656208607950465,0.771108947863971,0.860475878907808,0.965162855273447,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
D07,111-DR1,Z295866338,0.2,E,0,0.188947225635543,0.523434881828192,0.663868630611366,0.773662288750937,0.880902606003543,0.983036241482214,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
D08,111-DR1,Z373002190,50,E,0,0.204267270957343,0.497901472958524,0.623015176419897,0.737915516333402,0.847709174472974,0.944736128177712,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
D09,111-DR1,Z373002190,12.5,E,0,0.186393884748576,0.505561495619425,0.651101926176532,0.768555606977004,0.875795924229609,0.975376218821314,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
D10,111-DR1,Z373002190,3.13,E,0,0.191500566522509,0.536201586263026,0.668975312385299,0.786428993185771,0.906436014873211,1.01367633212582,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
D11,111-DR1,Z373002190,0.781,E,0,0.188947225635543,0.520881540941225,0.658761948837432,0.771108947863971,0.88345594689051,0.990696264143115,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
D12,111-DR1,Z373002190,0.2,E,0,0.188947225635543,0.528541563602126,0.668975312385299,0.804302379394539,0.929416082855912,1.04176308188245,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
D13,111-DR1,Z339892772,50,E,0,0.153200453218007,0.449387996106155,0.61280181287203,0.697062062141934,0.788982334072738,0.878349265116576,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
D14,111-DR1,Z339892772,12.5,E,0,0.19916058918341,0.510668177393358,0.643441903515631,0.74812887988127,0.852815856246908,0.96260951438648,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
D15,111-DR1,Z339892772,3.13,E,0,0.178733862087675,0.480028086749757,0.62046183553293,0.740468857220369,0.847709174472974,0.95494949172558,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
D16,111-DR1,Z339892772,0.781,E,0,0.181287202974642,0.492794791184591,0.623015176419897,0.753235561655203,0.863029219794775,0.97026953704738,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
