"","Well","Replicate","Compound","t_0","t_6","t_12","Smiles","Plate_ID","Concentration"
"122","O02","OD_A","DMSO",0,0.542604580855049,0.974795438861687,"","1886318-Y12-A082",50
"123","O23","OD_A","Ciprofloxacin",0.0126187111826756,0.00630935559133779,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"124","O24","OD_A","DMSO",0,0.479511024941671,1.02842496138806,"","1886318-Y12-A082",50
"125","P01","OD_A","DMSO",0,0.612007492359765,1.17984949558017,"","1886318-Y12-A082",50
"126","P02","OD_A","DMSO",0,0.570996681016069,1.09151851730144,"","1886318-Y12-A082",50
"127","P23","OD_A","Ciprofloxacin",0.00315467779566889,0.00315467779566889,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"128","P24","OD_A","DMSO",0,0.517367158489698,1.09782787289277,"","1886318-Y12-A082",50
"129","A01","OD_A","DMSO",0,0.539388599830444,1.08196884818059,"","1886318-Y12-A083",50
"130","A02","OD_A","Ciprofloxacin",0.00957494555912029,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"131","A23","OD_A","DMSO",0,0.545771896869857,1.05643566002294,"","1886318-Y12-A083",50
"132","A24","OD_A","DMSO",0,0.53300530279103,1.09154379373971,"","1886318-Y12-A083",50
"133","B01","OD_A","DMSO",0,0.580880030586632,1.14261017005502,"","1886318-Y12-A083",50
"134","B02","OD_A","Ciprofloxacin",0.00319164851970675,0.00319164851970675,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"135","B23","OD_A","DMSO",0,0.472363980916602,0.94791961035291,"","1886318-Y12-A083",50
"136","B24","OD_A","DMSO",0,0.501088817593963,1.05324401150323,"","1886318-Y12-A083",50
"137","C01","OD_A","DMSO",0,0.568113436507805,1.09792709077913,"","1886318-Y12-A083",50
"138","C02","OD_A","Ciprofloxacin",0.00319164851970675,0.00319164851970675,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"139","C23","OD_A","DMSO",0,0.555346842428978,1.04366906594411,"","1886318-Y12-A083",50
"140","C24","OD_A","DMSO",0,0.501088817593963,1.07239390262147,"","1886318-Y12-A083",50
"141","D01","OD_A","DMSO",0,0.568113436507805,1.12346027893678,"","1886318-Y12-A083",50
"142","D02","OD_A","Ciprofloxacin",0.00319164851970675,0.00319164851970675,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"143","D23","OD_A","DMSO",0,0.52343035723191,1.02451917482587,"","1886318-Y12-A083",50
"144","D24","OD_A","DMSO",0,0.510663763153083,1.05962730854265,"","1886318-Y12-A083",50
"145","E01","OD_A","DMSO",0,0.63194640690194,1.19048489785062,"","1886318-Y12-A083",50
"146","E02","OD_A","Ciprofloxacin",0.0159582425985338,0.00638329703941352,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"147","E23","OD_A","DMSO",0,0.462789035357481,0.941536313313496,"","1886318-Y12-A083",50
"148","E24","OD_A","DMSO",0,0.481938926475722,1.00217763518793,"","1886318-Y12-A083",50
"149","F01","OD_A","DMSO",0,0.600029921704872,1.12665192745649,"","1886318-Y12-A083",50
"150","F02","OD_A","Ciprofloxacin",0,0.00319164851970677,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"151","F23","OD_A","DMSO",0,0.459597386837775,0.922386422195256,"","1886318-Y12-A083",50
"152","F24","OD_A","DMSO",0,0.488322223515135,1.06601060558206,"","1886318-Y12-A083",50
"153","G01","OD_A","DMSO",0,0.606413218744286,1.17133500673238,"","1886318-Y12-A083",50
"154","G02","OD_A","Ciprofloxacin",0.00319164851970675,0.00319164851970675,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"155","G23","OD_A","DMSO",0,0.552155193909271,0.94791961035291,"","1886318-Y12-A083",50
"156","G24","OD_A","DMSO",0,0.584071679106338,0.979836095549978,"","1886318-Y12-A083",50
"157","H01","OD_A","DMSO",0,0.657479595059594,1.13622687301561,"","1886318-Y12-A083",50
"158","H02","OD_A","Ciprofloxacin",0,0.00957494555912031,0.00638329703941354,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"159","H23","OD_A","DMSO",0,0.864936748840534,1.14580181857473,"","1886318-Y12-A083",50
"160","H24","OD_A","DMSO",0,0.456405738318068,0.995794338148511,"","1886318-Y12-A083",50
"161","I01","OD_A","DMSO",0,0.686204431736955,1.23197632860681,"","1886318-Y12-A083",50
"162","I02","OD_A","DMSO",0,0.638329703941353,1.17452665525209,"","1886318-Y12-A083",50
"163","I23","OD_A","Ciprofloxacin",0.0255331881576541,0.654287946539887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"164","I24","OD_A","DMSO",0,0.64152135246106,1.0851604967003,"","1886318-Y12-A083",50
"165","J01","OD_A","DMSO",0,0.587263327626045,1.11388533337766,"","1886318-Y12-A083",50
"166","J02","OD_A","DMSO",0,0.548963545389564,1.02771082334558,"","1886318-Y12-A083",50
"167","J23","OD_A","Ciprofloxacin",0.00319164851970677,0.00319164851970677,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"168","J24","OD_A","DMSO",0,0.558538490948684,1.06601060558206,"","1886318-Y12-A083",50
"169","K01","OD_A","DMSO",0,0.603221570224579,1.15537676413385,"","1886318-Y12-A083",50
"170","K02","OD_A","DMSO",0,0.568113436507805,1.09792709077913,"","1886318-Y12-A083",50
"171","K23","OD_A","Ciprofloxacin",0.00319164851970677,0.00319164851970677,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"172","K24","OD_A","DMSO",0,0.826636966604053,1.03090247186529,"","1886318-Y12-A083",50
"173","L01","OD_A","DMSO",0,0.548963545389564,1.08835214522001,"","1886318-Y12-A083",50
"174","L02","OD_A","DMSO",0,0.558538490948684,1.03090247186529,"","1886318-Y12-A083",50
"175","L23","OD_A","Ciprofloxacin",0.00638329703941352,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"176","L24","OD_A","DMSO",0,0.619179812823113,1.05324401150323,"","1886318-Y12-A083",50
"177","M01","OD_A","DMSO",0,0.635138055421647,1.1777183037718,"","1886318-Y12-A083",50
"178","M02","OD_A","DMSO",0,0.52343035723191,0.986219392589391,"","1886318-Y12-A083",50
"179","M23","OD_A","Ciprofloxacin",0.00638329703941352,0.00319164851970675,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"180","M24","OD_A","DMSO",0,0.935153016274083,1.12026863041708,"","1886318-Y12-A083",50
"181","N01","OD_A","DMSO",0,0.64152135246106,1.18729324933092,"","1886318-Y12-A083",50
"182","N02","OD_A","DMSO",0,0.51385541167279,0.998985986668218,"","1886318-Y12-A083",50
"183","N23","OD_A","Ciprofloxacin",0.00319164851970675,0.00319164851970675,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"184","N24","OD_A","DMSO",0,0.909619828116429,1.02132752630617,"","1886318-Y12-A083",50
"185","O01","OD_A","DMSO",0,0.600029921704872,1.12665192745649,"","1886318-Y12-A083",50
"186","O02","OD_A","DMSO",0,0.552155193909271,1.02771082334558,"","1886318-Y12-A083",50
"187","O23","OD_A","Ciprofloxacin",0.00319164851970675,0.00319164851970675,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"188","O24","OD_A","DMSO",0,0.660671243579301,1.11069368485795,"","1886318-Y12-A083",50
"189","P01","OD_A","DMSO",0,0.619179812823113,1.23516797712652,"","1886318-Y12-A083",50
"190","P02","OD_A","DMSO",0,0.577688382066925,1.09473544225942,"","1886318-Y12-A083",50
"191","P23","OD_A","Ciprofloxacin",0.00319164851970677,0.00319164851970677,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A083",50
"192","P24","OD_A","DMSO",0,0.54258024835015,1.11388533337766,"","1886318-Y12-A083",50
"193","A01","OD_A","DMSO",0,0.707041717812624,1.27798620355803,"","1886318-Y12-A084",50
"194","A02","OD_A","Ciprofloxacin",0.00663888936913263,0,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"195","A23","OD_A","DMSO",0,0.587541709168237,1.15848619491364,"","1886318-Y12-A084",50
"196","A24","OD_A","DMSO",0,0.551027817638008,1.15516675022908,"","1886318-Y12-A084",50
"197","B01","OD_A","DMSO",0,0.587541709168237,1.13525008212168,"","1886318-Y12-A084",50
"198","B02","OD_A","Ciprofloxacin",0,0.0132777787382653,0.00663888936913263,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"199","B23","OD_A","DMSO",0,0.521152815476911,1.02570840753099,"","1886318-Y12-A084",50
"200","B24","OD_A","DMSO",0,0.524472260161477,1.09541674590688,"","1886318-Y12-A084",50
"201","C01","OD_A","DMSO",0,0.617416711329334,1.18172230770561,"","1886318-Y12-A084",50
"202","C02","OD_A","Ciprofloxacin",0.00663888936913263,0.00663888936913263,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"203","C23","OD_A","DMSO",0,0.527791704846043,1.07218063311492,"","1886318-Y12-A084",50
"204","C24","OD_A","DMSO",0,0.547708372953441,1.11533341401428,"","1886318-Y12-A084",50
"205","D01","OD_A","DMSO",0,0.604138932591069,1.15184730554451,"","1886318-Y12-A084",50
"206","D02","OD_A","Ciprofloxacin",0.00995833405369894,0.00331944468456631,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"207","D23","OD_A","DMSO",0,0.511194481423212,1.02238896284642,"","1886318-Y12-A084",50
"208","D24","OD_A","DMSO",0,0.547708372953441,1.11201396932971,"","1886318-Y12-A084",50
"209","E01","OD_A","DMSO",0,0.6207361560139,1.18836119707474,"","1886318-Y12-A084",50
"210","E02","OD_A","Ciprofloxacin",0,0.00331944468456631,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A084",50
"211","E23","OD_A","DMSO",0,0.464722255839284,0.939402845732266,"","1886318-Y12-A084",50
